er	vera	sfg3en
sagt	segja	sþghen
upp	upp	aa
á	á	aa
meðan	meðan	c
ófaglærðir	ófaglærður	lkfnsf
starfsmenn	starfsmaður	nkfn
halda	halda	sfg3fn
áfram	áfram	aa
störfum	starf	nhfþ
.	.	pl

Það	það	fphen
er	vera	sfg3en
ljóst	ljós	lhensf
að	að	c
þess	sá	fakee
háttar	háttur	nkee
vinnubrögð	vinnubrögð	nhfn
líðast	líða	sfm3fn
ekki	ekki	aa
annars	annar	fokee
staðar	staður	nkee
á	á	af
Íslandi	Ísland	nheþ-s
,	,	pk
»	»	pg
segir	segja	sfg3en
í	í	af
fréttatilkynningu	fréttatilkynning	nveþ
frá	frá	af
Landssambandi	Landssamband	nheþ-s
slökkviliðs-	slökkviliðsmaður	kt
og	og	c
sjúkraflutningsmanna	sjúkraflutningsmaður	nkfe
.	.	pl

Þá	þá	aa
er	vera	sfg3en
skorað	skora	sþghen
á	á	af
íslensk	íslenskur	lhfosf
stjórnvöld	stjórnvald	nhfo
að	að	cn
upplýsa	upplýsa	sng
starfsmenn	starfsmaður	nkfo
á	á	af
varnarsvæðinu	varnarsvæði	nheþg
um	um	af
framtíð	framtíð	nveo
þeirra	hann	fpkfe
og	og	c
eyða	eyða	sng
þeirri	sá	faveþ
óþolandi	óþolandi	lveþof
óvissu	óvissa	nveþ
sem	sem	ct
þeir	hann	fpkfn
búa	búa	sfg3fn
við	við	aa
.	.	pl

Opnunartilboð	opnunartilboð	nhen
í	í	af
öllum	allur	fovfþ
verslunum	verslun	nvfþ
Blómavals	Blómaval	nhee-s

Blómaval	Blómaval	nhen-s
líka	líka	aa
í	í	af
Kringlunni	Kringla	nveþgs
Blómaval	Blómaval	nhen-s
líka	líka	aa
í	í	af
Kringlunni	Kringla	nveþgs

Rósir	rós	nvfn
og	og	c
glervasi	glervasi	nken

BLÓMIN	blóm	nhfng
TALA	tala	sfg3fn

Glervasi	glervasi	nken
fylgir	fylgja	sfg3en

Helgi	Helgi	nken-s
Hjörvar	Hjörvar	nken-s
borgarfulltrúi	borgarfulltrúi	nken
og	og	c
þingmaður	þingmaður	nken
:	:	pa
Samstíga	samstíga	lkenof
Samfylkingu	Samfylking	nveþ-s
Helgi	Helgi	nken-s
Hjörvar	Hjörvar	nken-s
,	,	pk
alþingismaður	alþingismaður	nken
Samfylkingarinnar	Samfylking	nveegs
og	og	c
borgarfulltrúi	borgarfulltrúi	nken
R-listans	R-listi	nkeegs
,	,	pk
vísar	vísa	sfg3en
ummælum	ummæli	nhfþ
forsætisráðherra	forsætisráðherra	nkee
þess	sá	fahee
efnis	efni	nhee
að	að	c
Samfylkingin	Samfylking	nvengs
á	á	af
þingi	þing	nheþ
sé	vera	svg3en
ósamstíga	ósamstíga	lvenof
R-listanum	R-listi	nkeþgs
í	í	af
borgarstjórn	borgarstjórn	nveþ
á	á	af
bug	bugur	nkeo
.	.	pl

«	«	pg
Ég	ég	fp1en
bendi	benda	sfg1en
á	á	af
að	að	c
borgarstjórinn	borgarstjóri	nkeng
gekk	ganga	sfg3eþ
á	á	af
fund	fundur	nkeo
fjárlaganefndar	fjárlaganefnd	nvee
á	á	af
mánudag	mánudagur	nkeo
og	og	c
fór	fara	sfg3eþ
yfir	yfir	af
íþyngjandi	íþyngjandi	lvfoof
ákvarðanir	ákvörðun	nvfo
sem	sem	ct
ríkið	ríki	nheng
hefur	hafa	sfg3en
tekið	taka	sþghen
fyrir	fyrir	af
sveitarfélögin	sveitarfélag	nhfog
.	.	pl
»	»	pg

Sagði	segja	sfg3eþ
Helgi	Helgi	nken-s
að	að	c
ummæli	ummæli	nhfn
Halldórs	Halldór	nkee-s
hittu	hitta	sfg3fþ
engan	enginn	fokeo
nema	nema	c
hann	hann	fpkeo
sjálfan	sjálfur	fbkeo
fyrir	fyrir	aa
því	það	fpheþ
sveitarstjórnarmenn	sveitarstjórnarmaður	nkfn
framsóknarmanna	framsóknarmaður	nkfe
af	af	af
öllu	allur	foheþ
landinu	land	nheþg
hefðu	hafa	svg3fþ
leitað	leita	sþghen
á	á	af
náðir	náð	nvfo
fjárlaganefndar	fjárlaganefnd	nvee
og	og	c
mótmælt	mótmæla	sþghen
ósanngjarnri	ósanngjarn	lveþsf
tekjuskiptingu	tekjuskipting	nveþ
.	.	pl

Alfreð	Alfreð	nken-s
Þorsteinsson	Þorsteinsson	nken-s
,	,	pk
borgarfulltrúi	borgarfulltrúi	nken
Framsóknarflokksins	Framsóknarflokkur	nkeegs
,	,	pk
sagði	segja	sfg3eþ
að	að	c
R-listinn	R-listi	nkengs
stæði	standa	svg3eþ
þétt	þétt	aa
við	við	af
bakið	bak	nheog
á	á	af
samninganefnd	samninganefnd	nveþ
sveitarfélaga	sveitarfélag	nhfe
.	.	pl

Ekkert	enginn	fohen
samhengi	samhengi	nhen
væri	vera	svg3eþ
á	á	aa
milli	milli	af
þess	það	fphee
annars	annar	fokee
vegar	vegur	nkee
að	að	c
borgarstjóri	borgarstjóri	nken
og	og	c
sveitarstjórnarmenn	sveitarstjórnarmaður	nkfn
bentu	benda	svg3fþ
fjárlaganefnd	fjárlaganefnd	nveþ
á	á	af
íþyngjandi	íþyngjandi	lvfoof
ákvarðanir	ákvörðun	nvfo
ríkisins	ríki	nheeg
og	og	c
skerta	skertur	lkfosf
tekjustofna	tekjustofn	nkfo
og	og	c
kennaraverkfallsins	kennaraverkfall	nheeg
hins	hinn	fakee
vegar	vegur	nkee
.	.	pl

«	«	pg
Sveitarfélögin	sveitarfélag	nhfng
munu	munu	sfg3fn
ekki	ekki	aa
semja	semja	sng
við	við	af
kennara	kennari	nkfo
á	á	af
skjön	skjön	nheo
við	við	af
aðra	annar	fokfo
samninga	samningur	nkfo
í	í	af
þjóðfélaginu	þjóðfélag	nheþg
.	.	pl
»	»	pg

R-lista	R-listi	nkee-s
flokkarnir	flokkur	nkfng
deila	deila	sfg3fn
um	um	af
verkfallið	verkfall	nheog
Utandagskrárumræður	utandagskrárumræða	nvfn
tóku	taka	sfg3fþ
óvænta	óvæntur	lveosf
stefnu	stefna	nveo
á	á	af
Alþingi	Alþingi	nheþ-s
í	í	aa
gær	gær	aa
.	.	pl

Halldór	Halldór	nken-s
Ásgrímsson	Ásgrímsson	nken-s
forsætisráðherra	forsætisráðherra	nken
sakaði	saka	sfg3eþ
Samfylkinguna	Samfylking	nveogs
um	um	af
að	að	cn
tala	tala	sng
tungum	tunga	nvfþ
tveim	tveir	tfvfþ
um	um	af
kennaraverkfallið	kennaraverkfall	nheog
á	á	af
Alþingi	Alþingi	nheþ-s
og	og	c
í	í	af
borgarstjórn	borgarstjórn	nveþ
.	.	pl

Össur	Össur	nken-s
Skarphéðinsson	Skarphéðinsson	nken-s
segir	segja	sfg3en
ríkisstjórnina	ríkisstjórn	nveog
ekki	ekki	aa
geta	geta	sng
verið	vera	sþghen
stikkfrí	stikkfrí	lveoof
í	í	af
deilunni	deila	nveþg
.	.	pl

Umræður	umræða	nvfn
utan	utan	af
dagskrár	dagskrá	nvee
á	á	af
Alþingi	Alþingi	nheþ-s
í	í	aa
gær	gær	aa
um	um	af
kennaraverkfallið	kennaraverkfall	nheog
snerust	snúa	sfm3fþ
upp	upp	aa
í	í	af
skeytasendingar	skeytasending	nvfo
á	á	aa
milli	milli	af
flokkanna	flokkur	nkfeg
sem	sem	ct
standa	standa	sfg3fn
að	að	af
meirihluta	meirihluti	nkeþ
R-listans	R-listi	nkeegs
í	í	af
borgarstjórn	borgarstjórn	nveþ
Reykjavíkur	Reykjavík	nvee-s
.	.	pl

Halldór	Halldór	nken-s
Ásgrímsson	Ásgrímsson	nken-s
forsætisráðherra	forsætisráðherra	nken
sakaði	saka	sfg3eþ
Samfylkinguna	Samfylking	nveogs
um	um	af
að	að	cn
fylkja	fylkja	sng
sér	sig	fpveþ
annars	annar	fokee
vegar	vegur	nkee
innan	innan	af
R	R	nhee
listans	listi	nkeeg
í	í	af
borgarstjórn	borgarstjórn	nveþ
að	að	af
baki	bak	nheþ
samninganefndar	samninganefnd	nvee
sveitarfélaga	sveitarfélag	nhfe
en	en	c
tali	tala	svg3en
hins	hinn	fakee
vegar	vegur	nkee
með	með	af
allt	allur	fohen
öðrum	annar	fokeþ
hætti	háttur	nkeþ
á	á	af
Alþingi	Alþingi	nheþ-s
.	.	pl

«	«	pg
Undarlegt	undarlegur	lhensf
að	að	cn
heyra	heyra	sng
þetta	þessi	faheo
fólk	fólk	nheo
tala	tala	sng
algjörlega	algjörlega	aa
á	á	af
skjön	skjön	nheo
við	við	af
R-listann	R-listi	nkeogs
.	.	pl

Er	vera	sfg3en
ekkert	enginn	fohen
samráð	samráð	nhen
á	á	aa
milli	milli	af
formannsins	formaður	nkeeg
og	og	c
varaformanns	varaformaður	nkee
flokksins	flokkur	nkeeg
?	?	pl
»	»	pg

Kallað	kalla	sþghen
var	vera	sfg3eþ
fram	fram	aa
í	í	af
ræðu	ræða	nveo
ráðherrans	ráðherra	nkeeg
:	:	pa
«	«	pg
Hlustar	hlusta	sfg2en
þú	þú	fp2en
á	á	af
Alfreð	Alfreð	nkeo-s
?	?	pl
»	»	pg

og	og	c
svaraði	svara	sfg3eþ
Halldór	Halldór	nken-s
að	að	af
bragði	bragð	nheþ
að	að	c
hann	hann	fpken
væri	vera	svg3eþ
nýbúinn	nýbúinn	lkensf
að	að	cn
ræða	ræða	sng
við	við	af
hann	hann	fpkeo
:	:	pa
«	«	pg
Við	ég	fp1fn
framsóknarmenn	framsóknarmaður	nkfn
tölum	tala	sfg1fn
einu	einn	foheþ
máli	mál	nheþ
um	um	af
kennaraverkfallið	kennaraverkfall	nheog
.	.	pl
»	»	pg

Málshefjandi	málshefjandi	nken
umræðunnar	umræða	nveeg
,	,	pk
Össur	Össur	nken-s
Skarphéðinsson	Skarphéðinsson	nken-s
formaður	formaður	nken
Samfylkingarinnar	Samfylking	nveegs
,	,	pk
sagði	segja	sfg3eþ
að	að	c
ríkisvaldið	ríkisvald	nheng
hefði	hafa	svg3eþ
margsinnis	margsinnis	aa
átt	eiga	sþghen
þátt	þáttur	nkeo
í	í	af
að	að	cn
liðka	liðka	sng
fyrir	fyrir	af
lausn	lausn	nveþ
kjaradeilna	kjaradeila	nvfe
,	,	pk
nú	nú	aa
síðast	síðar	aae
á	á	af
þessu	þessi	faheþ
ári	ár	nheþ
.	.	pl

Ríkisstjórnin	ríkisstjórn	nveng
hefði	hafa	svg3eþ
sjálf	sjálfur	fbven
samið	semja	sþghen
myndarlega	myndarlega	aa
við	við	af
framhaldsskólakennara	framhaldsskólakennari	nkfo
sem	sem	ct
hefðu	hafa	svg3fþ
haft	hafa	sþghen
sömu	samur	fbhfo
grunnlaun	grunnlaun	nhfo
og	og	c
grunnskólakennarar	grunnskólakennari	nkfn
þegar	þegar	c
grunnskólinn	grunnskóli	nkeng
var	vera	sfg3eþ
fluttur	flytja	sþgken
til	til	af
sveitarfélaganna	sveitarfélag	nhfeg
.	.	pl

Þá	þá	aa
hefði	hafa	svg3eþ
verið	vera	sþghen
þrengt	þrengja	sþghen
að	að	af
fjárhag	fjárhagur	nkeþ
sveitarfélaganna	sveitarfélag	nhfeg
auk	auk	af
þess	það	fphee
sem	sem	c
auknar	aukinn	lvfnsf
kröfur	krafa	nvfn
væru	vera	svg3fþ
nú	nú	aa
gerðar	gera	sþgvfn
til	til	af
grunnskólans	grunnskóli	nkeeg
af	af	af
hálfu	hálfa	nveþ
ríkisvaldsins	ríkisvald	nheeg
.	.	pl

Halldór	Halldór	nken-s
Ásgrímsson	Ásgrímsson	nken-s
svaraði	svara	sfg3eþ
því	það	fpheþ
til	til	af
að	að	c
nýverið	nýverið	aa
,	,	pk
eftir	eftir	af
að	að	c
verkfall	verkfall	nhen
skall	skella	sfg3eþ
á	á	aa
,	,	pk
hefði	hafa	svg3eþ
verið	vera	sþghen
gefin	gefa	sþgven
út	út	aa
sameiginleg	sameiginlegur	lvensf
yfirlýsing	yfirlýsing	nven
um	um	af
tekjuskiptingu	tekjuskipting	nveo
ríkis	ríki	nhee
og	og	c
sveitarfélaga	sveitarfélag	nhfe
og	og	c
því	því	aa
engin	enginn	foven
ástæða	ástæða	nven
til	til	af
að	að	cn
hreyfa	hreyfa	sng
við	við	af
því	sá	faheþ
máli	mál	nheþ
.	.	pl

Þorgerður	Þorgerður	nven-s
Katrín	Katrín	nven-s
Gunnarsdóttir	Gunnarsdóttir	nven-s
menntamálaráðherra	menntamálaráðherra	nken
sagði	segja	sfg3eþ
að	að	c
báðir	báðir	fokfn
aðilar	aðili	nkfn
yrðu	verða	svg3fþ
að	að	cn
slá	slá	sng
af	af	af
sínum	sinn	fevfþ
ítrustu	ítur	lvfþve
kröfum	krafa	nvfþ
.	.	pl

Guðmundur	Guðmundur	nken-s
Árni	Árni	nken-s
Stefánsson	Stefánsson	nken-s
,	,	pk
Samfylkingu	Samfylking	nveþ-s
,	,	pk
sagði	segja	sfg3eþ
að	að	c
Halldór	Halldór	nken-s
Ásgrímsson	Ásgrímsson	nken-s
væri	vera	svg3eþ
í	í	af
afneitun	afneitun	nveþ
og	og	c
segði	segja	svg3eþ
«	«	pg
ekki	ekki	aa
ég	ég	fp1en
»	»	pg
,	,	pk
ekki	ekki	aa
eins	eins	aa
og	og	c
menntamálaráðherrann	menntamálaráðherra	nkeng
sem	sem	ct
hefði	hafa	svg3eþ
flutt	flytja	sþghen
«	«	pg
lélega	lélegur	lveosf
fréttaskýringu	fréttaskýring	nveo
»	»	pg
í	í	af
ræðu	ræða	nveþ
sinni	sinn	feveþ
«	«	pg
Svona	svona	aa
gera	gera	sfg3fn
menn	maður	nkfn
ekki	ekki	aa
»	»	pg
.	.	pl

Sigurjón	Sigurjón	nken-s
Þórðarson	Þórðarson	nken-s
,	,	pk
Frjálslynda	frjálslyndur	lkeþvf
flokknum	flokkur	nkeþg
,	,	pk
sakaði	saka	sfg3eþ
svo	svo	aa
forsætisráðherra	forsætisráðherra	nkeo
um	um	af
að	að	cn
hafa	hafa	sng
meiri	mikill	lkeovm
áhuga	áhugi	nkeo
á	á	af
sendiráðum	sendiráð	nhfþ
en	en	c
bágri	bágur	lveþsf
stöðu	staða	nveþ
sveitarfélaga	sveitarfélag	nhfe
.	.	pl

a.snaevarr@frettabladid.is	a.snaevarr@frettabladid.is	v

Steingrímur	Steingrímur	nken-s
J.	J.	ks
Sigfússon	Sigfússon	nken-s
,	,	pk
formaður	formaður	nken
Vinstri	vinstri	lkfevf
grænna	grænn	lkfesf
,	,	pk
talaði	tala	sfg3eþ
í	í	aa
gær	gær	aa
fyrir	fyrir	af
frumvarpi	frumvarp	nheþ
til	til	af
laga	lag	nhfe
sem	sem	ct
gerir	gera	sfg3en
ráð	ráð	nheo
fyrir	fyrir	af
að	að	c
hlutur	hlutur	nken
ríkisins	ríki	nheeg
í	í	af
Símanum	Sími	nkeþgs
verði	verða	svg3en
ekki	ekki	aa
seldur	selja	sþgken
,	,	pk
að	að	af
minnsta	lítill	lkeþve
kosti	kostur	nkeþ
ekki	ekki	aa
fyrir	fyrir	af
árslok	árslok	nhfo
2008	2008	ta
.	.	pl

Steingrímur	Steingrímur	nken-s
J.	J.	ks
sagði	segja	sfg3eþ
í	í	af
ræðu	ræða	nveþ
sinni	sinn	feveþ
að	að	c
Vinstri	vinstri	lkfnvf
grænir	grænn	lkfnsf
teldu	telja	svg3fþ
engin	enginn	fohfo
haldbær	haldbær	lhfosf
rök	rök	nhfo
fyrir	fyrir	af
einkavæðingu	einkavæðing	nveþ
Símans	Sími	nkeegs
.	.	pl

Lagði	leggja	sfg3eþ
hann	hann	fpken
til	til	af
að	að	af
fyrirtækinu	fyrirtæki	nheþg
yrði	verða	svg3eþ
gert	gera	sþghen
að	að	cn
gera	gera	sng
sérstakt	sérstakur	lheosf
átak	átak	nheo
fyrir	fyrir	af
árslok	árslok	nhfo
2008	2008	ta
til	til	af
að	að	cn
bæta	bæta	sng
fjarskipta-	fjarskiptakerfi	kt
og	og	c
gagnaflutningakerfi	gagnaflutningakerfi	nheo
landsins	land	nheeg
.	.	pl

Hann	hann	fpken
sagði	segja	sfg3eþ
að	að	c
það	það	fphen
væri	vera	svg3eþ
nauðsynlegt	nauðsynlegur	lhensf
til	til	af
að	að	c
allir	allur	fokfn
landsmenn	landsmaður	nkfn
ættu	eiga	svg3fþ
kost	kostur	nkeo
á	á	af
nýjustu	nýr	lveþve
og	og	c
fullkomnustu	fullkominn	lveþve
tækni	tækni	nveþ
.	.	pl

Steingrímur	Steingrímur	nken-s
J.	J.	ks
benti	benda	sfg3eþ
á	á	af
að	að	c
hægri	hægri	lvenvf
stjórnin	stjórn	nveng
í	í	af
Noregi	Noregur	nkeþ-s
hefði	hafa	svg3eþ
ákveðið	ákveða	sþghen
að	að	cn
fara	fara	sng
sér	sig	fpveþ
hægt	hægt	aa
í	í	af
að	að	cn
einkavæða	einkavæða	sng
norska	norskur	lkeovf
símann	sími	nkeog
,	,	pk
Tele-Nor	Tele-Nor	n----s
,	,	pk
og	og	c
ætlaði	ætla	sfg3eþ
að	að	cn
selja	selja	sng
hlutafé	hlutafé	nheo
ríkisins	ríki	nheeg
í	í	af
smáum	smár	lkfþsf
skömmtum	skammtur	nkfþ
.	.	pl

Hér	hér	aa
stæði	standa	svg3eþ
hins	hinn	fakee
vegar	vegur	nkee
til	til	af
að	að	cn
selja	selja	sng
hann	hann	fpkeo
í	í	af
einu	einn	lheþsf
lagi	lag	nheþ
.	.	pl

Vitnaði	vitna	sfg3eþ
formaður	formaður	nken
Vinstri	vinstri	lkfevf
grænna	grænn	lkfesf
til	til	af
skoðanakönnunar	skoðanakönnun	nvee
sem	sem	ct
flokkurinn	flokkur	nkeng
lét	láta	sfg3eþ
gera	gera	sng
í	í	af
vor	vor	nheo
en	en	c
samkvæmt	samkvæmt	af
henni	hún	fpveþ
vildu	vilja	sfg3fþ
61	61	tp
prósent	prósent	nhfn
hafa	hafa	sng
Símann	Sími	nkeogs
áfram	áfram	aa
í	í	af
opinberri	opinber	lveþsf
eigu	eiga	nveþ
.	.	pl

VEISTU	vita	sfg2en
SVARIÐ	svar	nheog
?	?	pl

1	1	ta
Um	um	af
hvað	hver	fsheo
deila	deila	sfg3fn
forysta	forysta	nven
sjómanna	sjómaður	nkfe
og	og	c
og	og	c
forsvarsmenn	forsvarsmaður	nkfn
Brims	Brim	nhee-s
?	?	pl

2	2	ta
Í	í	af
hvaða	hvaða	fsheþ
sveitarfélagi	sveitarfélag	nheþ
á	á	af
höfuðborgarsvæðinu	höfuðborgarsvæði	nheþg
hefur	hafa	sfg3en
börnum	barn	nhfþ
fækkað	fækka	sþghen
?	?	pl

3	3	ta
Hversu	hversu	aa
margir	margur	lkfnsf
knattspyrnumenn	knattspyrnumaður	nkfn
hjá	hjá	af
Real	Real	e
Madríd	Madríd	n----s
eru	vera	sfg3fn
tilnefndir	tilnefna	sþgkfn
sem	sem	c
knattspyrnumenn	knattspyrnumaður	nkfn
ársins	ár	nheeg
?	?	pl

Svörin	svar	nhfng
eru	vera	sfg3fn
á	á	af
bls.	bls.	ks
42	42	ta

SAMFYLKINGIN	Samfylkingin	nvengs
ÓSAMMÁLA	ósammála	lvenof
R-LISTA	R-listi	nkeþ-s
?	?	pl

Forsætisráðherra	forsætisráðherra	nken
spurði	spyrja	sfg3eþ
hvort	hvort	c
Össur	Össur	nken-s
Skarphéðinsson	Skarphéðinsson	nken-s
,	,	pk
formaður	formaður	nken
Samfylkingarinnar	Samfylking	nveegs
og	og	c
þingmaður	þingmaður	nken
,	,	pk
talaði	tala	svg3eþ
ekki	ekki	aa
við	við	af
varaformann	varaformaður	nkeo
sinn	sinn	fekeo
,	,	pk
Ingibjörgu	Ingibjörg	nveo-s
Sólrúnu	Sólrún	nveo-s
Gísladóttur	Gísladóttir	nveo-s
.	.	pl

Vinstri	vinstri	lkfnvf
grænir	grænn	lkfnsf
:	:	pa
STEINGRÍMUR	Steingrímur	nken-s
J.	J.	ks
SIGFÚSSON	Sigfússon	nken-s
HELGI	Helgi	nken-s
HJÖRVAR	Hjörvar	nken-s

Ingibjörg	Ingibjörg	nven-s
Sólrún	Sólrún	nven-s
Gísladóttir	Gísladóttir	nven-s
:	:	pa
Engin	enginn	foven
mótsögn	mótsögn	nven
Ingibjörg	Ingibjörg	nven-s
Sólrún	Sólrún	nven-s
Gísladóttir	Gísladóttir	nven-s
,	,	pk
varaformaður	varaformaður	nken
Samfylkingarinnar	Samfylking	nveegs
,	,	pk
vísar	vísa	sfg3en
því	það	fpheþ
á	á	af
bug	bugur	nkeo
að	að	c
þversögn	þversögn	nven
sé	vera	svg3en
á	á	aa
milli	milli	af
afstöðu	afstaða	nvee
Samfylkingarinnar	Samfylking	nveegs
á	á	af
Alþingi	Alþingi	nheþ-s
og	og	c
innan	innan	af
R-listans	R-listi	nkeegs
í	í	af
borgarstjórn	borgarstjórn	nveþ
Reykjavíkur	Reykjavík	nvee-s
.	.	pl

Halldór	Halldór	nken-s
Ásgrímsson	Ásgrímsson	nken-s
forsætisráðherra	forsætisráðherra	nken
hélt	halda	sfg3eþ
því	það	fpheþ
fram	fram	aa
að	að	c
formaður	formaður	nken
Samfylkingarinnar	Samfylking	nveegs
héldi	halda	svg3eþ
einu	einn	foheþ
fram	fram	aa
á	á	af
Alþingi	Alþingi	nheþ-s
en	en	c
varaformaðurinn	varaformaður	nkeng
allt	allur	fohen
öðru	annar	foheþ
í	í	af
R-listanum	R-listi	nkeþgs
.	.	pl
»	»	pg

Talast	tala	sfm3fn
þau	það	fphfn
ekki	ekki	aa
við	við	aa
?	?	pl
»	»	pg

spurði	spyrja	sfg3eþ
Halldór	Halldór	nken-s
.	.	pl

Ingibjörg	Ingibjörg	nven-s
Sólrún	Sólrún	nven-s
sagði	segja	sfg3eþ
að	að	c
það	það	fphen
væri	vera	svg3eþ
samstaða	samstaða	nven
um	um	af
að	að	c
ríkið	ríki	nheng
gerði	gera	svg3eþ
upp	upp	aa
og	og	c
leiðrétti	leiðrétta	svg3eþ
